assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Enaphalodes rufulus,,,,,Ongoing,
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Baliosus ruber,,,,,Ongoing,
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Alsophila pometaria,,,,,Ongoing,
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Anisota senatoria,,,,,Ongoing,
2303725,194198,Quercus minima,7.1.2,Supression in fire frequency/intensity,1.2,Ecosystem degradation,,,,,,,Ongoing,
2303725,194198,Quercus minima,1.1,Housing & urban areas,1.1,Ecosystem conversion,,,,,,,Ongoing,
2303725,194198,Quercus minima,2.3.3,"Agro-industry grazing, ranching or farming",1.1,Ecosystem conversion,,,,,,,Ongoing,
2303725,194198,Quercus minima,2.2.2,Agro-industry plantations,1.1,Ecosystem conversion,,,,,,,Ongoing,
2303967,194204,Quercus myrtifolia,7.1.2,Supression in fire frequency/intensity,"","",,,,,,,Ongoing,
2303967,194204,Quercus myrtifolia,1.2,Commercial & industrial areas,"","",,,,,,,Ongoing,
2303967,194204,Quercus myrtifolia,1.1,Housing & urban areas,"","",,,,,,,Ongoing,
2303997,194205,Quercus nigra,8.4.1,Unspecified species,"","",,,,,,,Ongoing,
2304635,194220,Quercus phellos,8.4.1,Unspecified species,"","",,,,,,,Ongoing,
2304665,194221,Quercus polymorpha,5.2.1,Intentional use (species is the target),1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2304665,194221,Quercus polymorpha,5.3.1,Intentional use: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
2304665,194221,Quercus polymorpha,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
2304962,194224,Quercus pumila,7.1.2,Supression in fire frequency/intensity,"","",,,,,,,Ongoing,
2305058,194226,Quercus rubra,11.2,Droughts,"","",,,,,,,Ongoing,
2305058,194226,Quercus rubra,11.3,Temperature extremes,"","",,,,,,,Ongoing,
2305058,194226,Quercus rubra,8.4.2,Named species,"","",,Ceratocystis fagacearum,,,,,Ongoing,
2305094,194227,Quercus rugosa,11.1,Habitat shifting & alteration,1.3,Indirect ecosystem effects,,,,Unknown,Unknown,,Ongoing,
2305094,194227,Quercus rugosa,5.2.1,Intentional use (species is the target),2.2,Species disturbance,,,,Unknown,Unknown,,Ongoing,
2305094,194227,Quercus rugosa,7.1.1,Increase in fire frequency/intensity,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2305094,194227,Quercus rugosa,5.3.1,Intentional use: (subsistence/small scale) [harvest],2.1|2.2,Species mortality|Species disturbance,,,No,Unknown,Unknown,,Ongoing,
2305094,194227,Quercus rugosa,1.1,Housing & urban areas,1.1,Ecosystem conversion,,,,Unknown,Unknown,,Ongoing,
2305500,194236,Quercus stellata,8.4.1,Unspecified species,"","",,,,,,,Ongoing,
2305500,194236,Quercus stellata,8.2.2,Named species,"","",,Cryphonectria parasitica,,,,,Ongoing,
2305832,194244,Quercus velutina,11.2,Droughts,"","",,,,,,,Ongoing,
2305832,194244,Quercus velutina,8.4.2,Named species,"","",,Ceratocystis fagacearum,,,,,Ongoing,
2305832,194244,Quercus velutina,8.1.2,Named species,"","",,Lymantria dispar,,,,,Ongoing,
2305868,194245,Quercus virginiana,7.1.1,Increase in fire frequency/intensity,2.1|2.2,Species mortality|Species disturbance,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2305868,194245,Quercus virginiana,11.3,Temperature extremes,2.1,Species mortality,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2305868,194245,Quercus virginiana,8.4.2,Named species,2.1,Species mortality,,Ceratocystis fagacearum,,Majority (50-90%),Unknown,,Ongoing,
2309626,194284,Ostrya chisosensis,8.2,Problematic native species/diseases,"","",,,,,,,Ongoing,
2309626,194284,Ostrya chisosensis,7.1.1,Increase in fire frequency/intensity,"","",,,,,,,Ongoing,
2309626,194284,Ostrya chisosensis,11.5,Other impacts,"","",,,,,,,Ongoing,
2309626,194284,Ostrya chisosensis,11.2,Droughts,"","",,,,,,,Ongoing,
2338986,194472,Alnus incana,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Unspecified Phytophthora,,,,,Ongoing,
2338986,194472,Alnus incana,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2346581,194540,Ostrya virginiana,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2347475,51203944,Alnus alnobetula,2.3.4,Scale Unknown/Unrecorded,2.1|2.2|2.3.7,Species mortality|Species disturbance|Reduced reproductive success,,,,Minority (<50%),Unknown,,Ongoing,
2347475,51203944,Alnus alnobetula,8.1.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Phytophthora alni,,,,,Ongoing,
2349148,194557,Ostrya knowltonii,7.1.1,Increase in fire frequency/intensity,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
2350587,194580,Alnus oblongifolia,7.1.1,Increase in fire frequency/intensity,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2355690,194649,Alnus nepalensis,5.3.1,Intentional use: (subsistence/small scale) [harvest],1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,Ongoing,
2355690,194649,Alnus nepalensis,8.2.2,Named species,2.2,Species disturbance,,Unspecified Anomala,,,,,Ongoing,
2355690,194649,Alnus nepalensis,8.2.2,Named species,2.2,Species disturbance,,Unspecified Oreina,,,,,Ongoing,
2355690,194649,Alnus nepalensis,8.2.2,Named species,2.2,Species disturbance,,Unspecified Batocera,,,,,Ongoing,
2355690,194649,Alnus nepalensis,8.2.2,Named species,2.2,Species disturbance,,Unspecified Zeuzera,,,,,Ongoing,
2355690,194649,Alnus nepalensis,8.2.2,Named species,2.2,Species disturbance,,Eutrichosiphum alnifoliae,,,,,Ongoing,
2608155,199640,Opuntia abjecta,11.1,Habitat shifting & alteration,1.2|2.1,Ecosystem degradation|Species mortality,,,,Majority (50-90%),,,Future,
2608155,199640,Opuntia abjecta,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),,,Ongoing,
2608155,199640,Opuntia abjecta,6.1,Recreational activities,1.2|2.1,Ecosystem degradation|Species mortality,,,,Majority (50-90%),,,Ongoing,
2608155,199640,Opuntia abjecta,8.1.2,Named species,2.1,Species mortality,,Cactoblastis cactorum,,,,,Ongoing,
2608155,199640,Opuntia abjecta,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Odocoileus virginianus,,,,,Ongoing,
2608155,199640,Opuntia abjecta,8.1.2,Named species,1.1|1.2|2.3.2,Ecosystem conversion|Ecosystem degradation|Competition,,Kalanchoe pinnata,,,,,Ongoing,
2793139,30375,Cupressus macrocarpa,7.1.1,Increase in fire frequency/intensity,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Future,
2795402,30727,Quercus cedrosensis,6.2,"War, civil unrest & military exercises",1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2795402,30727,Quercus cedrosensis,7.1.3,Trend Unknown/Unrecorded,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2795402,30727,Quercus cedrosensis,4.1,Roads & railroads,2.1|2.2,Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2795402,30727,Quercus cedrosensis,5.3.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Unknown,Unknown,,Ongoing,
2798888,30955,Quercus hinckleyi,2.3.4,Scale Unknown/Unrecorded,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,8.2.2,Named species,2.3.1,Hybridisation,,Quercus pungens,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,8.2.2,Named species,2.3.1,Hybridisation,,Quercus vaseyana,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,11.1,Habitat shifting & alteration,1.1|2.3.7,Ecosystem conversion|Reduced reproductive success,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,4.1,Roads & railroads,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,1.3,Tourism & recreation areas,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2798888,30955,Quercus hinckleyi,8.2.1,Unspecified species,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,Majority (50-90%),Causing/Could cause fluctuations,"Wildlife and insect predation, especially affecting acorns.",Ongoing,
2798949,30956,Quercus oglethorpensis,8.1.2,Named species,2.1,Species mortality,,Cryphonectria parasitica,,Unknown,Causing/Could cause fluctuations,,Ongoing,
2798949,30956,Quercus oglethorpensis,8.1.2,Named species,2.3.2,Competition,,Lonicera japonica,,Unknown,"Slow, Significant Declines",,Ongoing,
2798949,30956,Quercus oglethorpensis,8.1.2,Named species,2.3.2,Competition,,Ligustrum sinense,,Unknown,"Slow, Significant Declines",,Ongoing,
2798949,30956,Quercus oglethorpensis,2.1.4,Scale Unknown/Unrecorded,1.1|2.1,Ecosystem conversion|Species mortality,,,,Unknown,Unknown,,Ongoing,
2798949,30956,Quercus oglethorpensis,2.2.2,Agro-industry plantations,1.1|2.1,Ecosystem conversion|Species mortality,,,,Unknown,Unknown,,Ongoing,
2798949,30956,Quercus oglethorpensis,1.2,Commercial & industrial areas,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2798949,30956,Quercus oglethorpensis,11.2,Droughts,2.1,Species mortality,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
2798949,30956,Quercus oglethorpensis,7.1.1,Increase in fire frequency/intensity,2.1,Species mortality,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
2798949,30956,Quercus oglethorpensis,11.4,Storms & flooding,2.1|2.3.7,Species mortality|Reduced reproductive success,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
2798949,30956,Quercus oglethorpensis,7.2.11,Dams (size unknown),2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,Unknown,"Slow, Significant Declines",,Ongoing,
2799049,30959,Quercus tomentella,2.1.2,Small-holder farming,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Minority (<50%),Unknown,,"Past, Unlikely to Return",
2799049,30959,Quercus tomentella,8.1.2,Named species,1.2,Ecosystem degradation,,Ovis aries,,Minority (<50%),Unknown,,"Past, Unlikely to Return",
2799049,30959,Quercus tomentella,8.1.2,Named species,1.2,Ecosystem degradation,,Sus scrofa,,Majority (50-90%),Unknown,,"Past, Unlikely to Return",
2799049,30959,Quercus tomentella,2.3.2,"Small-holder grazing, ranching or farming",1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
2799049,30959,Quercus tomentella,8.1.2,Named species,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,Capra hircus,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
2799049,30959,Quercus tomentella,8.2.2,Named species,2.2,Species disturbance,,Bison bison,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2799049,30959,Quercus tomentella,8.2.2,Named species,2.2,Species disturbance,,Odocoileus hemionus,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2799049,30959,Quercus tomentella,8.2.2,Named species,2.3.1,Hybridisation,,Quercus chrysolepis,,Unknown,Unknown,,Unknown,
2799049,30959,Quercus tomentella,8.1.2,Named species,2.3.2,Competition,,Phalaris aquatica,,Unknown,Unknown,,Ongoing,
2799049,30959,Quercus tomentella,8.1.2,Named species,2.3.2,Competition,,Cynodon dactylon,,Unknown,Unknown,,Ongoing,
2799049,30959,Quercus tomentella,8.1.2,Named species,2.3.2,Competition,,Avena fatua,,Unknown,Unknown,,Ongoing,
2799049,30959,Quercus tomentella,8.1.2,Named species,2.3.2,Competition,,Foeniculum vulgare,,Unknown,Unknown,,Ongoing,
2810241,32101,Abies fraseri,11.4,Storms & flooding,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2810241,32101,Abies fraseri,7.1.1,Increase in fire frequency/intensity,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2810241,32101,Abies fraseri,8.1.2,Named species,1.2|2.1|2.3.2|2.3.7,Ecosystem degradation|Species mortality|Competition|Reduced reproductive success,,Adelges piceae,,Whole (>90%),Rapid Declines,,Ongoing,
2822877,32762,Quercus depressipes,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
2828337,32947,Delonix regia,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
2828337,32947,Delonix regia,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2828337,32947,Delonix regia,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2828337,32947,Delonix regia,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2828337,32947,Delonix regia,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,,,,,,,Ongoing,
2828337,32947,Delonix regia,5.3.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
2828337,32947,Delonix regia,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2838274,33635,Quercus boyntonii,1.3,Tourism & recreation areas,"","",,,,,,,Ongoing,
2838274,33635,Quercus boyntonii,9.4,Garbage & solid waste,"","",,,,,,,Ongoing,
2838274,33635,Quercus boyntonii,5.3.1,Intentional use: (subsistence/small scale) [harvest],"","",,,,,,,Ongoing,
2838274,33635,Quercus boyntonii,6.1,Recreational activities,"","",,,,,,,Ongoing,
2839807,33991,Quercus macrocarpa,7.1.2,Supression in fire frequency/intensity,"","",,,,,,,Ongoing,
2839807,33991,Quercus macrocarpa,2.3.4,Scale Unknown/Unrecorded,"","",,,,,,,"Past, Likely to Return",
2840024,34004,Chamaecyparis lawsoniana,5.3.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
2840024,34004,Chamaecyparis lawsoniana,5.3.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Minority (<50%),Negligible declines,,Ongoing,
2840024,34004,Chamaecyparis lawsoniana,8.1.2,Named species,2.1,Species mortality,,Phytophthora lateralis,,Majority (50-90%),Rapid Declines,,Ongoing,
2840268,34011,Quercus georgiana,11.1,Habitat shifting & alteration,1.3|2.1,Indirect ecosystem effects|Species mortality,,,,Majority (50-90%),Unknown,,Future,
2840268,34011,Quercus georgiana,11.2,Droughts,1.2|1.3|2.3.8,Ecosystem degradation|Indirect ecosystem effects|Other,,,,Majority (50-90%),Unknown,,"Past, Likely to Return",
2840268,34011,Quercus georgiana,6.1,Recreational activities,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2840268,34011,Quercus georgiana,8.2.2,Named species,2.3.1,Hybridisation,,Quercus rubra,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2840436,34019,Abies bracteata,11.2,Droughts,1.1|2.1|2.3.2|2.3.8,Ecosystem conversion|Species mortality|Competition|Other,,,,Whole (>90%),Unknown,,Ongoing,
2840436,34019,Abies bracteata,11.1,Habitat shifting & alteration,1.2|2.3.2,Ecosystem degradation|Competition,,,,Whole (>90%),Unknown,,Ongoing,
